# Andromeda
1735031801 0     2.33579500    29.19375532 move to alpha
2275017531 1    10.07935919    30.96267852 draw to delta
2286013291 1    17.69184071    35.71903444 draw to beta
1735031801 0     2.33579500    29.19375532 move to alpha
2279016651 1     9.46838837    33.82099021 draw to pi
2798016671 1    14.44524424    38.59906127 draw to mu
3265024001 1    20.85920136    45.62509852 draw to xi
3282022711 1    24.78380960    48.72211100 draw to 51
# Antlia
7211022951 0   164.39502876   -37.23661833 move to iota
7184020651 1   157.00079268   -31.16254436 draw to alpha
6610023151 1   146.25732127   -27.85511059 draw to theta
7166030381 1   142.50280638   -36.03296542 draw to epsilon
# Apus
9447031541 0   251.45044298   -77.54991930 move to beta
9450022821 1   249.09143234   -78.93433004 draw to gamma
9446035171 1   245.79343180   -78.73846963 draw to delta 1
9436023931 1   222.56173062   -79.12094221 draw to alpha
# Aquarius
6401013551 0   347.60717447   -21.07192786 move to 88
6387013821 1   343.90782849   -15.72185101 draw to delta
5819012471 1   342.64245211   -13.49428938 draw to tau
5813014061 1   343.39456151    -7.48103354 draw to lambda
5249014001 1   348.81971541    -5.94751902 draw to phi
5226016051 1   337.44457526     0.07497089 draw to zeta
5226016061 1   335.65178979    -1.29359772 draw to gamma
5224018061 1   331.68321467    -0.22924890 draw to alpha
5216017251 1   323.13271176    -5.48888092 draw to beta
5757019431 1   313.41220486    -8.91261210 draw to mu
5760019971 1   312.16867613    -9.42670849 draw to epsilon
5224018061 0   331.68321467    -0.22924890 move to alpha
5803019961 1   334.45129784    -7.69039866 draw to theta
5808016831 1   331.85823472   -13.77881824 draw to iota
# Aquila
1585025311 0   285.11601747    15.09515533 move to epsilon
1052030271 1   286.56518610    13.89289337 draw to zeta
1061025771 1   296.78463206    10.65951026 draw to gamma
1058033991 1   297.91729686     8.91543417 draw to alpha
0493033551 1   299.05507112     6.45778026 draw to beta
5161026821 1   303.06434255    -0.76545833 draw to theta
0480030271 1   298.35359456     1.05440979 draw to eta
0469062271 1   291.60575235     3.15232282 draw to delta
1052030271 1   286.56518610    13.89289337 draw to zeta
0469062271 0   291.60575235     3.15232282 move to delta
5136023571 1   286.80773535    -4.85276130 draw to lambda
5140047811 1   285.66716352    -5.71141602 draw to 12
# Ara
9053041181 0   263.19404894   -60.69618696 move to delta
8736038571 1   261.73888941   -56.39283532 draw to gamma
8732028661 1   261.71047141   -55.54501823 draw to beta
8350026001 1   263.31891838   -49.88828573 draw to alpha
8726022081 1   255.26599099   -53.18700936 draw to epsilon 1
8730014391 1   255.03959133   -56.01697959 draw to zeta
8725030671 1   252.84733326   -59.07203919 draw to eta
8730014391 0   255.03959133   -56.01697959 move to zeta
8736038571 1   261.73888941   -56.39283532 draw to gamma
# Aries
1789014901 0    42.76883736    27.33657248 move to 41
1758024161 1    32.05358919    23.55020333 draw to alpha
1212019351 1    28.91572188    20.89857421 draw to beta
1209018351 1    28.63665209    19.38460682 draw to gamma
# Auriga
2924027421 0    90.22223035    44.94734099 move to beta
2418015731 1    90.24531014    37.21265894 draw dotted to theta
1859014701 5    81.86555953    28.62270747 draw dotted to beta tauri
2391014461 5    74.55031388    33.19383605 draw dotted to iota
2899022371 1    76.95359546    41.25817798 draw to eta
2899022371 1    76.95359546    41.25817798 draw to eta
3358031411 1    79.51396320    46.01807784 draw to alpha
2924027421 1    90.22223035    44.94734099 draw to beta
# Bootes
3036011511 0   218.20671530    38.22684021 move to gamma
3047012581 1   225.66117522    40.31853485 draw to beta
2566016391 1   229.06146966    33.24748209 draw to delta
2019012511 1   221.44919917    26.99684984 draw to epsilon
1472014361 1   214.13514543    19.10190284 draw to alpha
0917014711 1   220.50784508    13.64995165 draw to zeta
1470011571 0   208.89190104    18.30830864 move to eta
1472014361 1   214.13514543    19.10190284 draw to alpha
2553011401 1   218.15763151    30.29004046 draw to rho
3036011511 1   218.20671530    38.22684021 draw to gamma
# Caelum
7589016931 0    70.29117032   -41.82870591 move to alpha
7045001301 1    70.67785085   -37.11054540 draw to beta
# Camelopardus
3734023201 0    74.69424521    53.77959304 move to 7
4079024781 1    76.26798747    60.46709365 draw to beta
4091020941 1    73.97546788    66.37149444 draw to alpha
4335021061 1    58.08502770    71.38720003 draw to gamma
3715012481 1    52.64556649    60.00310118 draw to unnamed
# Cancer
0814030291 0   134.87400711    11.78525824 move to alpha
1396027581 1   131.43365787    18.08687692 draw to delta
1399029051 1   131.08930312    21.40107990 draw to gamma
1396027581 0   131.43365787    18.08687692 move to delta
0794016221 1   124.37971722     9.12768589 draw to beta
# Canes Venatici
3021026461 0   194.21976054    38.21480666 move to alpha 1
3020025411 1   188.66147144    41.25490811 draw to beta
# Canis Major
5938029181 0    95.87876832   -17.96628398 move to beta
5949027771 1   101.49524407   -16.73348841 draw to alpha
6523037221 1   105.94938100   -23.86143897 draw to omicron 2
6532050011 1   107.28603553   -26.42365353 draw to delta
6531037931 1   105.61418392   -27.96240746 draw to sigma
6535036191 1   104.83830443   -28.99831033 draw to epsilon
6532050011 0   107.28603553   -26.42365353 move to delta
6550045251 1   111.20684290   -29.34022696 draw to eta
# Canis Minor
0187021841 0   115.07279268     5.18405744 move to alpha
0764027741 1   112.03873533     8.25096675 draw to beta
# Capricornus
5748025981 0   304.66771939   -12.44980977 move to alpha 1
5753022811 1   305.51184752   -14.72176291 draw to beta
6925015761 1   311.79733949   -25.20204768 draw to psi
6930009871 1   313.23057730   -26.84875579 draw to omega
6928003351 1   317.05182539   -24.93051638 draw to 24
6372012781 1   321.93004164   -22.33043306 draw to zeta
6370011761 1   324.52828231   -19.38226055 draw to epsilon
6363010441 1   327.01278833   -16.04029055 draw to delta
6362010781 1   325.27687033   -16.57772447 draw to gamma
6360012201 1   320.81830908   -16.75485662 draw to iota
6350014991 1   316.74551775   -17.15785073 draw to theta
5753022811 1   305.51184752   -14.72176291 draw to beta
# Carina
8534022771 0    96.09045406   -52.70655549 move to alpha
8535021261 1    98.84615170   -52.99138415 draw to N
8536007941 1   102.56429791   -53.64481164 draw to A
8553028831 1   119.31250725   -53.03273687 draw to chi
8579026921 1   125.72341357   -59.56963064 draw to epsilon
8595033121 1   139.39654896   -59.35339256 draw to iota
8943034471 1   154.42618449   -61.42517330 draw to q
8956043241 1   158.17173860   -61.78092487 draw to p
8965017651 1   160.90556135   -64.49176754 draw to theta
9214028421 1   153.54463864   -70.13009575 draw to omega
9200026031 1   138.35234673   -69.79441186 draw to beta
8950022721 1   146.89113246   -65.15824153 draw to upsilon
# Cassiopeia
4036028341 0    28.93609085    63.76043866 move to epsilon
4031032891 1    21.75600050    60.33117235 draw to delta
4017023191 1    14.45964882    60.81655496 draw to gamma
3663026681 1    10.39146467    56.63876649 draw to alpha
3664019851 1     2.53636154    59.25313107 draw to beta
# Centaurus
7275020741 0   200.41398703   -36.80869704 move to iota
7792023931 1   203.03114202   -39.50216807 draw to d
7797027441 1   207.65572951   -41.77901233 draw to nu
7293022151 0   211.94927501   -36.45622881 move to theta
7797027441 1   207.65572951   -41.77901233 draw to nu
7828035201 0   225.09329257   -42.17705128 move to kappa
7814037061 1   219.17272774   -42.23776770 draw to eta
7797027441 1   207.65572951   -41.77901233 draw to nu
7797027431 1   207.68492009   -42.56501338 draw to mu
8267035451 1   209.17642168   -47.37832906 draw to zeta
8663029291 1   205.26813267   -53.55962534 draw to epsilon
8240027241 1   190.63866179   -49.06105316 draw to gamma
8239024201 1   187.26249257   -50.33281129 draw to sigma
8241032351 1   182.33167455   -50.82533733 draw to delta
8242034781 1   183.15725788   -52.47127636 draw to rho
8621020021 1   170.46468911   -54.59257671 draw to pi
8973029231 1   176.85491746   -61.28119710 draw to unnamed
8976053831 1   174.16156844   -63.12227572 draw to lambda
9005039191 0   211.28683294   -60.46116309 move to beta
8663029291 1   205.26813267   -53.55962534 draw to epsilon
9007058491 1   220.27652742   -60.91393942 draw to alpha
# Cepheus
4237021681 0   307.47145360    63.05674780 move to theta
4246019671 1   311.41439591    61.90487003 draw to eta
4252018701 1   319.75246399    62.66401153 draw to alpha
4465026431 1   322.22262341    70.64207719 draw to beta
4606035841 1   355.03281543    77.73456869 draw to gamma
4277011021 1   342.58712931    66.29895019 draw to iota
3981015901 1   332.87454064    58.29285915 draw to zeta
4252018701 1   319.75246399    62.66401153 draw to alpha
3981015901 0   332.87454064    58.29285915 move to zeta
3990024311 1   333.92386926    57.13591908 draw to epsilon
3995014791 1   337.46518497    58.51027048 draw to delta
# Cetus
0050017211 0    41.06642575     3.31397562 move to gamma
0058016181 1    45.81227259     4.16187707 draw to alpha
0641009851 1    45.17725012     8.98016958 draw to lambda
0643009371 1    41.48411932    10.19153341 draw to mu
0632014911 1    37.28600056     8.54217551 draw to xi 2
0052016811 1    39.21215310     5.67324809 draw to nu
0050017211 1    41.06642575     3.31397562 draw to gamma
0046016331 1    40.10808530     0.40743428 draw to delta
5278024371 1    28.09331257   -10.24397957 draw to zeta
5274019841 1    21.23778335    -8.08666908 draw to theta
5273026571 1    17.37851150   -10.08356239 draw to eta
5261010841 1     5.09267664    -8.72121274 draw to iota
5847023331 1    11.12745729   -17.88557760 draw to beta
5855022921 1    26.24548811   -15.84708132 draw to tau
5278024371 1    28.09331257   -10.24397957 draw to zeta
# Chamaeleon
9398027141 0   124.50140078   -76.97842348 move to alpha
9401017141 1   158.91973054   -78.70390828 draw to gamma
9420015431 1   184.86952054   -79.41492356 draw to beta
9418026531 1   161.48590066   -80.63786558 draw to delta 2
9398027151 1   125.01844876   -77.54379019 draw to theta
9398027141 1   124.50140078   -76.97842348 draw to alpha
# Circinus
8707019901 0   231.21661620   -59.38544542 move to gamma
9015014451 1   221.00937533   -65.05252072 draw to alpha
8706010611 1   229.74566867   -58.86768927 draw to beta
# Columba
7063011791 0    82.96729590   -35.45767777 move to epsilon
7064013571 1    85.07989742   -34.06506447 draw to alpha
7069014821 1    87.90269835   -35.76537684 draw to beta
7066020241 1    89.54837618   -35.28234770 draw to gamma
7080021231 1    94.30278942   -35.14831268 draw to kappa
7077020601 1    95.69786330   -33.44634554 draw to delta
7069014821 0    87.90269835   -35.76537684 move to beta
7606009891 1    89.92823692   -42.81485195 draw to eta
# Coma Berenices
1454011341 0   197.72534999    17.43093944 move to alpha
1996024001 1   198.19067872    27.77812131 draw to beta
1991018951 1   186.96514673    28.16635084 draw to gamma
# Corona Australis
7421022961 0   284.99347138   -37.08071107 move to epsilon
7422017371 1   286.91582529   -37.03305420 draw to gamma
7917026531 1   287.68130409   -37.87322390 draw to alpha
7918015241 1   287.82474848   -39.30944872 draw to beta
7921028561 1   287.40822630   -40.46609635 draw to delta
7925027951 1   286.10494475   -42.06670376 draw to zeta
# Corona Borealis
2564016291 0   233.41923345    31.29762217 move to theta
2032016051 1   232.14959969    29.04214893 draw to beta
2029016901 1   233.86690476    26.65403044 draw to alpha
2036016741 1   235.88102445    26.23758126 draw to gamma
2037018271 1   237.59333740    26.01319857 draw to delta
2037018261 1   239.58920255    26.82573666 draw to epsilon
2041018051 1   240.54646354    29.80028368 draw to iota
# Corvus
6672009951 0   182.34202249   -24.83170658 move to alpha
6668009921 1   182.77039065   -22.72268676 draw to epsilon
6098017541 1   184.19131111   -17.64472814 draw to gamma
6103023951 1   187.70768432   -16.61719606 draw to delta
6683011161 1   188.84062287   -23.49843854 draw to beta
6668009921 1   182.77039065   -22.72268676 draw to epsilon
# Crater
6094015321 0   179.24065129   -17.25380209 move to eta
6096020321 1   176.42549783   -18.45340550 draw to zeta
6088021551 1   171.45284340   -17.78584712 draw to gamma
5514014231 1   170.06779438   -14.88046779 draw to delta
5512013891 1   171.38655082   -10.96119433 draw to epsilon
5510015081 1   174.40588031    -9.90474765 draw to theta
6088021551 0   171.45284340   -17.78584712 move to gamma
6649012741 1   168.14255211   -22.92637006 draw to beta
6079019011 1   165.17301990   -18.39861708 draw to alpha
5514014231 1   170.06779438   -14.88046779 draw to delta
# Crux
8979034641 0   186.91082808   -63.20133552 move to alpha
8654034221 1   188.05040935   -57.21459160 draw to gamma
8659031071 0   192.20444669   -59.78946158 move to beta
8645022631 1   184.03512992   -58.85166686 draw to delta
# Cygnus
3920019711 0   289.38169156    53.40225441 move to kappa
